label,article
0,SA ikalawa at huli gabing lamay sa burol ng mga labi ni Liezl Sumilang-Martinez sa Heritage Chapel ay maraming touching scenes na na-sight at nakunan ng picture si Yours Truly.
0,"SI Vice Ganda kaya ang peg ni Coco Martin bilang si Paloma na going places na? Akala namin noong una, magsusuot ng damit pambabae lang si Coco bilang Cardo sa Ang Probinsiyano dahil gusto nga niyang mapasok ang sindikato ni Olga (Gina Pareno) at na-pick up nga siya ng isang negro."
0,"INAPRUBAHAN ng Kamara de Representantes sa ikalawang pagbasa ang panukala na magdeklara National Day against Homophobia, Biphobia and Transphobia. Sa ilalim ng House bill 9094 gagawin ang selebrasyon tuwing Mayo 17 bilang bahagi ng kampanya laban sa diskriminasyon at pang-aapi sa mga lesbian, gay, bisexual at transgender. Ang panukala ay akda ni Bayan Muna Rep. Carlos Zarate at Manila Rep. Tul Servo. Lahat ng ahensya ng gobyerno, pribadong institusyon, at eskuwelahan ay inaasahan na makikiisa sa pagpapalaganap ng pantay na pagtrato sa mga LGBT. ""Much still needs to be done for LGBTs in the country to achieve full legal and social equality for them. People who do not conform to socially prescribed sexual and gender codes continue to be targets of stigma, discrimination, and violence,"" ani Zarate. Ayon sa Hate Crime Watch mayroon itong naitalang 54 kaso pagpatay sa mga LGBT mula 1996. ""But it is the undocumented cases outside media coverage which are estimated to be much greater,"" ani Zarate. ""It hopes to provide more opportunities to discuss and search for solutions to the problems confronted by our fellow human beings."""
0,"Sa ulat ni Chief Insp. Eleno Ramos Mangrobang, hepe ng Bamban Police, sumuko sa kanya si Adrian Lugtu, 23, binata, ng Virgen Delos Remedios, Bamban, Tarlac."
1,"Matapos magbigay ng reaksyon si dating Presidential Communications Operations Office (PCOO) Assistant Secretary Mocha Uson sa Kapamilya actress Anne Curtis ukol sa naging pahayag nito sa pagpapababa sa criminal liability ng mga kabataan, ang pro-government blogger at Maastricht University Lecturer naman na si Sass Rogando Sasot ang nagbigay ng komento nito tungkol sa sinabi ng talent ng ABS-CBN. Ayon kay Sasot, dapat ay magbasa muna si Custis bago ito mag-react sa isyu. ""Ms. Anne read before you react. BUT YOU can still buy me, my friends, and this club,"" sabi ni Sasot Si Curtis ay isang United Nations International Children's Emergency Fund (UNICEF) Ambassador at nagpahayag ngpatutol tungkol sa napapanahong isyu. ""Nakakalungkot isipin na ibaba nila ang crim!nal responsibility to the age of 9. At that age they are very much children. They still have a chance to change their ways if they happen to cause or get into any trouble instead of beig sent to jail and sentenced as an adult,"" sabi ni ni Curtis sa kanyang social media account. Hindi pinalampas ng ilang netizens na punahin ang katayuan sa buhay ng aktres. Ayon sa ilang kababayan natin walang alam daw sa realidad ng mundo ng kalye at squatters ang kapamilya host. At nakakalungkot daw na sumasaw ito sa isyu. Hindi rin napigilan ng ilang kababayan natin na punahin ang talento at pagkanta ng artista. Kung nagtataka kayo kung bakit nasabi ni Sasot ang linyang, ""BUT YOU can still buy me, my friends, and this club"", matatandaang noong 2013 ay naging laman ng balita si Curtis dahil sa kinasangkutang gulo sa isang bar sa The Fort, Taguig. Panoorin ang isyung kinasangkutan ni Curtis noong 2013 kung saan sinampal umano nito ang kapwa artista na si John Lloyd-Cruz at nakaalitan ang isa ring host na si phoemela Baranda. Basahin ang reaksyon ng ilang netizens sa pangaral ni Sasot kay Curtis. ""Liberals din tong si Anne Curtis, obvious walang alam sa Realidad sa Mundo ng Kalye, Squatters Areas, Rural Areas at Informal Settlers sa Pilipinas... nakakalungkot lang isipin sa mga taong ito na sumasaw sa issue na walang experienced kung paano ma buhay sa mundong maraming Pasaway at Snatchers sa paligid,"" sabi ni M. Fortis ""Marunong ngang magsalita ng Ingles, di lang marunong magbasa at makaintindi. What a shame,"" sabi ni G. Zapanta ""And so like Anne and Dingdong. I wonder if these celebrities have the effort to read. Baka mas may alam pa siguro mga yaya nila pagdating sa mga issue na ganito,"" sabi ni L. Cacho ""Tong MgA artista kasi di Muna magbasa at intindihin bago mag react. Although agree ako na parang masyadong mababa ang 9?, but then kung duon magsisimulang ma rehabilitate ang MgA bata na delingkuwente? Then so be it. It's all up to the parents to guide and teach their children. Ang siste kasi napapabayaan na ang MgA anak nila kaya nagagamit ng sindikato. O kaya Nman e naimpluwensyahan ng bisyo.kung alam na ng MgA bata ang kahahantungan nila sa murang edad nila, matatakot na silang gumawa ng masama. And hindi Nman sila isasama sa mga beteranong kriminal. The goal here is to rehabilitate them and save them from syndicate,vices ,bad influence,their abusive parents and themselves,"" sabi ni Y. Chang ""Anne Curtis should read the proposed law first before making such ill-advised comments. She might at least do some due diligence in finding first if it will affect her person and showbiz career.,"" sabi ni O. Eya Source: Sass Rogando Sasot"
1,"Kalunos-lunos ang sinapit ng 16-anyos na grade 9 student matapos siyang bugbugin umano ng lasing na Brgy. Chairman na si Felipe TJ Falcon Jr ng Brgy. 350 sa Maynila. Ayon sa ulat, napagkamalan daw ng biktima na isang kagawad si Kapitan Falcon kaya ito binugbog. Nakisali din daw sa pambubogbog ang mga alipores (kagawad at tanod) ni Kapitan Falcon noong tinangka dumepensa ng binatilyo sa pananakit ng punong barangay. ""Hindi daw siya (Brgy. Captain Falcon) nakilala, para nabastusan sa kanya. Pero noong humingi na siya ng despensa, hindi pa rin siya pinalabas, inumpisahan na siyang banatan sa loob ng barangay hall. Pinalo ng cellphone sa mukha, sinampal ng dalawang beses, tapos paluin ng matigas na dry seal sa panga, atsaka brass knuckle. Pinasubo din ang dulo ng baril,"" sabi ni Ranero Gelizon, ama ng biktima. Inulan ng batikos at tuligsa ngayon ang ginawang pang-aabuso ni Brgy. Chairman Falcon. Naniniwala ba kayo na ito ang dapat na tutukan ng mga human rights group at ng CHR? Sang-ayon ba kayo na matanggal sa serbisyo ang suspek na chairman? Paki-kalat po ang artikulong ito para malaman ng buong bayan ang kabalbalan ng kapitan na ito. Source: News5"
1,"Matapos mapirmahan ang memorandum of agreement para sa proteksyon ng mga overseas Filipino workers sa Kuwait, bahagyang tinanggal na ng pamahalaan ang total deployment ng mga OFW sa Gulf State. Ayon sa ulat ng Inquirer, sinabi umano ni Presidential Spokesman Harry Roque na tinanggal na ang deployment ban para sa skilled at semi-skilled workers, samantalang ang ban sa pagpapadala sa Kuwait ng mga domestic workers ay mananatili pa rin. Ani Roque, plano ring alisin ang deployment ban ng mga kasambahay sa Kuwait, subalit bago gawin iyon ay magsasagawa muna ng reporma hinggil sa kanilang recruitment. Magkakaroon umano ng mandatory training sa mga domestic workers. Dagdag pa ni Roque, ang mga recruiters ang sasagot sa gastos sa training dahil ang recruitment fee ay sinisingil nila sa Kuwait employers na nais kumuha ng domestic workers. Ang planong pagtanggal sa deployment ban ng domestic workers sa Kuwait ay irerekomenda ni presidential adviser on OFW and Muslims Concerns na si Abdullah Mama-o kay Pangulong Rodrigo Duterte."
1,"Usap-usapan ngayon sa social media ang umano'y panggagaya ng kinatawan ng Thailand na si Ingchanok Prasart sa ginanap na Miss Intercontinental pageant 2018 sa trademark ni Miss Universe 2018 Catriona Gray na ""lava walk."" Isang netizen sa Twitter na nagngangalang Marnie Raro ang nakapansin sa paraan ng paglalakad at pag-project ni Miss Thailand na parang kinokopya ang ""lava walk"" ni Catriona. Bukod kay Miss Thailand, napansin din ng mga netizens ang pagkopya umano sa ""Mayon Volcano gown"" ni Miss Vietnam. Aminado naman ang dalawa na labis nilang hinahangaan at inspirasyon nila si Miss Universe 2018 Catriona Gray. Halo-halo naman ang naging reaksyon ng mga netizens hinggil dito. ""So now everyone looks like Catriona Gray. From hair to stance to gowns. The influence. Only legends do that."" ""Catriona Gray's walk can never be perfect without her walking it."" ""I think so? Even the hand gesture of Miss Thailand seems copied too. Catriona Gray is indeed a queen."" ""Yet they can't copy the original. Because there will be only one Lava Walk and Catriona Gray."" ""Kayo na 'yung may mga originality... hala gawa kayo sarili niyong pageant, ano ba naman yung hayaan niyo na lang sila hays....daming toxic."" Isang patunay lamang ito na maraming mga aspiring beauty pageant candidates, hindi lamang sa Pilipinas kundi maging sa buong mundo, ang tumitingala at humahanga kay Catriona. Aminado naman dito ang marami sa mga kandidata ng naturang katatapos na pageant. Ang 47th edition ng Miss Intercontinental 2018 ay ginanap noong Enero 26, 2019, sa SM Mall of Asia Arena sa Pasay, Metro Manila, Philippines. Kinoronahan ni Miss Intercontinental 2017 Veronica Salas Vallejo ng Mexico ang kandidata ng Pilipinas na si Karen Juanita Gallman. Ito ang kauna-unahang pagkakataong naging host ang Pilipinas sa pageant na ito. Pinili ng Japan organizers ang Pilipinas na maging venue ng pageant dahil abala ang bansang Japan sa mga paghahanda para sa 2020 Summer Olympics. Narito ang buong Twitter post ng netizen:"
1,"Tinapos na ng Commission on Elections (COMELEC) ang pagbibilang ng mga boto para sa mga senador ngayong araw. Dumating kagabi ang mga Certificates of Canvass (CoCs) mula sa bansang Estados Unidos. Hindi na nakahabol si reelectionist senators JV Ejercito at Bam Aquino sa kapwa nila reelectionist na si Nancy Binay. Si incumbent Senator Cynthia Villar ay nanatiling nangunguna sa senatorials election na may 25,283,727 na boto at sinundan naman ito ni Senadora Grace Poe. Pasok naman si former Special Assistant to the President Bong Go sa ikatlong puwesto. Ayon sa ulat ng CNN Philippines, umabot sa 47,296,442 na balota ang nabilang ng National Board of Canvassers (NBOC). Ang voter turout naman ay umabot ng 74.31 porsyento. Ito na po ang opisyal at pinal na bilang mula sa COMELEC. Panoorin ang coverage ng proklamasyon ng mga nanalong senador. Source: CNN Philippines | News5"
1,"Napapanahon ang video na ito dahil habang mainit na usapin ngayon ang pagpapababa sa edad ng criminal liability sa mga kabataan, kasalukuyang kumakalat naman ang isang video ng bagong insdente ng bu11ying. Sa video makikita ang grupo ng mga kabataang kababaihan na pinagtutulungan ang isang pobreng dalagita. Mapapanood kung paano nila isa-isang sinampal ang biktima. Hindi pa nakuntento ang isa sa mga suspek at kinaladkad pa ang biktima sa pamamagitan ng pagsabunot dito. Ang nakakalungkot sa insidente ay wala man lang nagtangkang umawat sa pananakit. Makikita pa ang ilang bata sa paligid na nanonood lamang at kinunan pa ng video ang ginawang pangmamaltrato. Matatandaang noong nakaraang buwan lang ay naging matinding usapin din ang bu11ying dahil sa pambubugbog ng batang atenista sa kaklase nito sa Ateneo Junior Highschhol. Basahin ang reaksyon ng ilan nating kababayan sa ginawa ng grupo ng mga kababaihan na ito.. ""wag nman sana mangyari sa anak ko yan.....eto lang masasabi ko pag sa anak ko yan dudukutin k kau kahit nsa loob n kau ng bahay nyo......,"" sabi ni E. Eel ""Kung Anak ko ginanyan naku po d ko yan ipapopolis o ipakulong kami na ng ankan ko bahala kung ano karapat dPat sa mga ganyan sapung beses nya pagbabayaran ginawa nya at baka magtago n lng sya habang buhay,"" sabi ni R. Salmazan ""Ganyan talaga pag marami ang lakas ng loob matatapang try mo mag isa lng yan baka kawawa yan batang sinampal.kung sa kapatid ko nangyari yan wag silang papakita sakin kahit babae pa mga yan.,"" sabi ni R. Gonzales III ""Pesti pag ganyanin ang anak ko patawarin ako ng diyos kung anu ang ginawa niya gagawin ko din sa knya pesti,"" sabi ni S. Go Source: Facebook"
